,week,url_avg,et_url_avg,display_url_avg,hashtag_avg,et_hashtag_avg,avg_followers,avg_friends,avg_listed,sum_trunc,sum_http,avg_tokens,avg_char,avg_senti,avg_emoji_count,song_id,artist_id
1022,10,1.0,0.0,1.0,0.0,2.25,126.5,98.5,2.0,2.0,4.0,21.5,123.75,0.19509999826550484,1.0,33,2
1025,10,1.0,0.0,1.0,0.0,0.0,32.0,171.0,0.0,0.0,1.0,15.0,89.0,0.0,0.0,29,24
1027,10,1.0,0.0,1.0,1.0,0.0,1373.5,2486.5,1.5,0.0,2.0,15.5,107.5,0.0,0.0,38,31
1028,10,1.0,0.0,1.0,3.333333333333333,4.666666666666667,3039.333333333333,2148.6666666666665,42.333333333333336,2.0,3.0,20.666666666666668,123.0,0.6919333338737488,0.3333333333333333,72,34
1030,10,0.4545454545454545,0.18181818181818185,0.4545454545454545,0.2727272727272727,0.0,2358.454545454545,1413.3636363636365,18.454545454545453,3.0,4.0,20.0,108.63636363636364,0.7378272630951621,0.7272727272727273,8,3
1031,10,0.5714285714285714,0.047619047619047616,0.5714285714285714,0.3809523809523809,1.0476190476190477,1078.095238095238,663.5714285714286,24.095238095238088,5.0,14.0,16.047619047619047,102.76190476190477,0.09670952813965934,0.4761904761904762,81,69
1032,10,0.055749128919860634,0.006968641114982578,0.055749128919860634,0.017421602787456445,0.010452961672473868,1661.7979094076654,1537.780487804878,41.43554006968641,9.0,254.0,21.25783972125436,126.1324041811847,0.7762223168532607,1.67595818815331,82,70
1033,10,0.2,0.0,0.2,0.0,0.0,26896.2,17059.2,90.4,0.0,1.0,15.8,82.8,-0.11101999282836914,0.0,96,82
1036,10,1.0,1.0,1.0,0.0,0.0,18769.0,2995.0,41.0,1.0,1.0,27.0,140.0,0.7717000246047974,0.0,76,64
1037,10,0.3181818181818182,0.0,0.3181818181818182,0.8636363636363636,0.4545454545454545,578.0909090909091,355.6818181818182,12.181818181818182,5.0,8.0,25.59090909090909,128.6818181818182,0.5836136368187991,1.1363636363636365,13,6
1038,10,1.4,1.0,1.4,1.8,1.0,1622.4,160.2,50.2,3.0,5.0,21.0,126.8,0.17078000009059907,0.0,4,4
1042,10,0.0,0.0,0.0,0.0,0.0,87.0,192.0,0.0,0.0,0.0,20.0,104.0,0.9732999801635742,0.0,85,73
1043,10,0.6,0.2,0.6,1.6,0.2,999.4,489.2,40.6,2.0,3.0,22.4,123.0,0.7373200058937073,0.2,6,6
1055,10,0.5172413793103449,0.10344827586206896,0.5172413793103449,0.06896551724137931,0.0,1031.9655172413793,1065.5517241379312,3.7931034482758617,3.0,16.0,18.896551724137925,118.55172413793105,0.1842655190106096,0.4482758620689655,7,7
1057,10,0.4,0.0,0.4,1.0,1.4,1013.6,726.0,14.6,1.0,3.0,16.8,103.8,0.2562999963760376,1.0,75,63
1058,10,0.6153846153846154,0.2307692307692308,0.6153846153846154,0.5384615384615384,0.5384615384615384,1456.3076923076926,1337.3076923076926,9.692307692307693,3.0,7.0,19.30769230769231,107.15384615384615,-0.0588538463299091,0.15384615384615385,22,19
1059,10,1.0,0.14285714285714285,1.0,0.5714285714285714,0.7142857142857143,359.1428571428572,420.71428571428567,1.0,2.0,7.0,21.857142857142854,125.28571428571428,0.21032857043402536,0.0,2,2
1061,10,0.6,0.0,0.6,0.0,0.2,2310.8,1749.0,5.0,1.0,3.0,19.4,103.4,0.4382199913263321,0.0,16,14
